target_url,keywords,label,language
https://www.meistertask.com/de/pricing,"preise|preis|kosten|tarife|tarif|abopreise|abopreis|wie viel kostet meistertask|preisplan|preispläne",pricing,de
https://www.meistertask.com/pages/de/project-management,"projektmanagement|projektmanagement tool|projektmanagement-tool|projektmanagement software|projektmanagement-software|projektmanagement system|projektmanagement-system|projektverwaltung|projektplanung software|projekte verwalten|regex:\bpm\s+tool\b",project management,de
https://www.meistertask.com/pages/de/task-management,"aufgabenmanagement|aufgabenmanagement tool|aufgabenverwaltung|aufgabenverwaltung software|task management|task management software|aufgabenplanung|aufgabentool|to-do tool|to-do listen tool",task management,de
https://www.meistertask.com/pages/de/kanban-board,"kanban|kanban board|kanban-board|kanban tool|kanban-tool|kanban software|online kanban tool|kanban projektmanagement|kanban methode",kanban board,de
https://www.meistertask.com/pages/de/workflows,"workflow|workflows|workflow software|workflow management|workflow-management|workflow management software|workflow-management-software|workflow tool|prozessmanagement software|prozessmanagement tool",workflows,de
https://www.meistertask.com/pages/de/resource-management,"ressourcenmanagement|ressourcenverwaltung|ressourcenplanung|ressourcen verwalten|kapazitätsplanung|teamauslastung software",resource management,de
https://www.meistertask.com/pages/de/knowledge-management,"wissensmanagement|wissensmanagement software|wissensmanagement-software|wisensdatenbank|knowledge management|wisensverwaltung",knowledge management,de
https://www.meistertask.com/pages/de/documentation,"projektdokumentation|projektdokumentation software|dokumentation software|dokumentationstool|projekt dokumentieren",project documentation,de
https://www.meistertask.com/pages/de/kollaborationsplattform,"kollaborationsplattform|kollaboration software|teamarbeit software|zusammenarbeit software|kollaborationstool|kollaborations-tool|teamarbeitsplattform",collaboration platform,de
https://www.meistertask.com/pages/de/digitalisierung,"digitalisierung|digitalisierungslösung|digitale transformation|digitalisierungssoftware|digitalisierung arbeitswelt",digitalization,de
https://www.meistertask.com/pages/de/compare/asana-alternative,"asana alternative|alternative zu asana|asana ersatz|beser als asana|asana vergleich",asana alternative,de
https://www.meistertask.com/pages/de/compare/trello-alternative,"trello alternative|alternative zu trello|trello ersatz|besser als trello|trello vergleich",trello alternative,de
https://www.meistertask.com/pages/de/compare/stackfield-alternative,"stackfield alternative|alternative zu stackfield|stackfield ersatz|besser als stackfield",stackfield alternative,de
https://www.meistertask.com/pages/de/compare/excel-alternative,"excel alternative projektmanagement|projektmanagement excel alternative|alternative zu excel|excel ersatz projektmanagement|kein excel mehr",excel alternative,de
https://www.meistertask.com/pricing,"pricing|cost|costs|how much does meistertask cost|how much is meistertask|price|prices|plans|subscription cost|monthly price|annual price",pricing,en
https://www.meistertask.com/pages/project-management,"project management|project management tool|project management software|project management system|project management app|manage projects|projects software|pm tool|pm software",project management,en
https://www.meistertask.com/pages/task-management,"task management|task management software|task management tool|task management app|task tracker|task tracking software|to-do management|task organization",task management,en
https://www.meistertask.com/pages/kanban-board,"kanban|kanban board|kanban tool|kanban software|kanban app|online kanban|free kanban|kanban method",kanban board,en
https://www.meistertask.com/pages/workflows,"workflow|workflows|workflow software|workflow management|workflow management software|workflow tool|workflow automation|process management software",workflows,en
https://www.meistertask.com/pages/resource-management,"resource management|resource management software|resource planning|capacity planning|team capacity software|workload management",resource management,en
https://www.meistertask.com/pages/knowledge-management,"knowledge management|knowledge management software|knowledge base software|knowledge management tool|km software",knowledge management,en
https://www.meistertask.com/pages/documentation,"project documentation|project documentation software|documentation tool|document projects",project documentation,en
https://www.meistertask.com/pages/teamwork-collaboration,"team collaboration|team collaboration software|collaboration software|collaboration platform|teamwork software|team communication software|collaborate online",team collaboration,en
https://www.meistertask.com/pages/digitalization,"digitalization|digital transformation|digitalize work|digital workplace|going digital",digitalization,en
https://www.meistertask.com/pages/compare/asana-alternative,"asana alternative|alternative to asana|alternatives to asana|better than asana|asana vs|asana competitor",asana alternative,en
https://www.meistertask.com/pages/compare/trello-alternative,"trello alternative|alternative to trello|alternatives to trello|better than trello|trello vs|trello competitor",trello alternative,en
https://www.meistertask.com/pages/compare/stackfield-alternative,"stackfield alternative|alternative to stackfield|better than stackfield",stackfield alternative,en
https://www.meistertask.com/pages/compare/excel-alternative,"excel alternative project management|project management excel alternative|alternative to excel for project management|stop using excel|replace excel for projects",excel alternative,en
https://www.meistertask.com/pages/business,"meistertask for business|business plan|enterprise plan|enterprise project management|business project management software|enterprise software",business plan,en
https://www.meistertask.com/pages/security,"gdpr compliant project management|gdpr compliance|data security|data privacy software|secure project management|iso 27001|enterprise security",security,en
https://www.meistertask.com/pages/integrations,"integrations|integrate with|works with|app integrations|connect with|api integrations",integrations,en
https://www.meistertask.com/pages/request-trial,"free trial|request a trial|start free trial|try meistertask free|free demo|trial signup",free trial,en
https://www.meistertask.com/pages/contact-sales,"contact sales|talk to sales|book a demo|request a demo|sales team|enterprise inquiry",contact sales,en
