target_url,keywords,label
https://www.proofserve.com/how-it-works,"regex:\bhow\s+process\s+serving\s+works\b|regex:\bai.powered\s+process\s+serving\b|regex:\bautofill\s+ai\b|regex:\bproof\s+autofill\b|regex:\baddress\s+verification\b|regex:\bgps\s+tracking\b|regex:\bautomated\s+affidavits?\b|regex:\bserve\s+in\s+60\s+seconds\b|regex:\bdigital\s+service\s+of\s+process\b|regex:\bservice\s+of\s+process\s+platform\b|regex:\bprocess\s+serving\s+platform\b|regex:\bprocess\s+serving\s+software\b|regex:\bprocess\s+serving\s+app\b|regex:\bprocess\s+server\s+app\b|regex:\blegal\s+document\s+delivery\s+platform\b",how process serving works
https://www.proofserve.com/pricing,"regex:\bprocess\s+server\s+pricing\b|\bprocess\s+serv(?:ing|er)\s+cost(?:s)?\b|regex:\bprocess\s+serv(?:ing|er)\s+rates?\b|regex:\bhow\s+much\s+(?:does\s+)?(?:a\s+)?process\s+server\s+cost\b|regex:\bhow\s+much\s+do\s+process\s+servers\s+charge\b|regex:\btransparent\s+(?:legal\s+)?pricing\b|regex:\bafordable\s+process\s+serv(?:ing|er)\b|regex:\bprocess\s+server\s+fees?\b",process server pricing
https://www.proofserve.com/skip-tracing,"regex:\bskip\s+trac(?:ing|e)\b|regex:\bskip\s+trac(?:ing|e)\s+services?\b|regex:\blocate\s+(?:a\s+)?(?:person|people|individual|defendant|debtor|respondent)\b|regex:\bfind\s+(?:a\s+)?(?:hard.to.find\s+)?(?:person|people|individual|defendant|debtor)\b|regex:\bpeople\s+search\b|regex:\bopen.source\s+intel(?:ligence)?\b|regex:\bdefendant\s+location\b|regex:\beverify\s+(?:an?\s+)?address\b|regex:\baddress\s+lookup\b",skip tracing
https://www.proofserve.com/for-individuals,"regex:\bserve\s+legal\s+(?:papers?|documents?)\b|regex:\bserv(?:ing|e)\s+(?:court\s+)?papers?\b|regex:\bserv(?:ing|e)\s+(?:legal\s+)?documents?\b|regex:\bserv(?:ing|e)\s+(?:a\s+)?sumons\b|regex:\bserv(?:ing|e)\s+(?:a\s+)?subpoena\b|regex:\bserv(?:ing|e)\s+(?:a\s+)?complaint\b|regex:\bserv(?:ing|e)\s+(?:a\s+)?defendant\b|regex:\bdiy\s+process\s+serv(?:ing|ice)\b|regex:\bself.service\s+process\s+serv(?:ing|ice)\b|regex:\bafordable\s+(?:legal\s+)?document\s+serv(?:ing|ice)\b|regex:\bserve\s+papers?\s+(?:fast|quickly|same.day)\b",serve legal papers
https://www.proofserve.com/for-law-firms,"regex:\blaw\s+firm\s+process\s+serv(?:ing|ice)\b|regex:\bprocess\s+serv(?:ing|ice)\s+(?:for\s+)?law\s+firms?\b|regex:\blitigation\s+(?:law\s+firm\s+)?process\s+serv(?:ing|ice)\b|regex:\battorney\s+process\s+serv(?:ing|ice)\b|regex:\blegal\s+team\s+process\s+serv(?:ing|ice)\b|regex:\bparalegal\s+process\s+serv(?:ing|ice)\b|regex:\blaw\s+firm\s+service\s+of\s+process\b|regex:\bservice\s+of\s+process\s+(?:for\s+)?(?:law\s+firms?|attorneys?|paralegals?)\b",process serving for law firms
https://www.proofserve.com/for-collections-agencies,"regex:\bcollection\s+agenc(?:y|ies)\s+process\s+serv(?:ing|ice)\b|regex:\bprocess\s+serv(?:ing|ice)\s+(?:for\s+)?collection\s+(?:agencies|firms?|companies)\b|regex:\bbulk\s+(?:document\s+)?(?:upload|serv(?:ing|ice))\b|regex:\bbulk\s+process\s+serv(?:ing|ice)\b|regex:\bbulk\s+serve\b|regex:\bsalesforce\s+(?:process\s+serv(?:ing|ice)\s+)?integration\b|regex:\bfilevine\s+integration\b|regex:\bdebt\s+collection\s+(?:process\s+)?serv(?:ing|ice)\b|regex:\bhigh.volume\s+(?:process\s+)?serv(?:ing|ice)\b|regex:\bserve.first\s+states?\b|regex:\bcollections?\s+(?:law\s+firm\s+)?service\s+of\s+process\b",collection agency process service
https://www.proofserve.com/for-government,"regex:\bgovernment\s+process\s+serv(?:ing|ice)\b|regex:\bprocess\s+serv(?:ing|ice)\s+(?:for\s+)?government\b|regex:\bgovernment\s+(?:agency\s+)?(?:document\s+)?serv(?:ing|ice)\b|regex:\bpublic\s+agency\s+process\s+serv(?:ing|ice)\b|regex:\bmunicipal\s+process\s+serv(?:ing|ice)\b",government process service
https://www.proofserve.com/for-process-serving-companies,"regex:\bprocess\s+serving\s+compan(?:y|ies)\b|regex:\boutsource\s+(?:nationwide\s+)?(?:process\s+)?serv(?:ing|ice)\b|regex:\bexpand\s+(?:to\s+)?all\s+50\s+states\b|regex:\bnationwide\s+(?:process\s+serving\s+)?network\b|regex:\bexpedited\s+(?:process\s+)?serv(?:ing|ice)\b|regex:\bsame.day\s+(?:process\s+)?serv(?:ing|ice)\b|regex:\bprocess\s+serving\s+network\b",process serving companies
https://www.proofserve.com/property-management,"regex:\bprocess\s+serv(?:ing|ice)\s+(?:for\s+)?property\s+management\b|regex:\bproperty\s+management\s+process\s+serv(?:ing|ice)\b|regex:\btenant\s+notice(?:s)?\b|regex:\beviction\s+(?:notice|serv(?:ing|ice)|process)\b|regex:\beviction\s+papers?\b|regex:\boccupancy\s+check(?:s)?\b|regex:\bviolation\s+notice(?:s)?\b|regex:\blandlord\s+(?:process\s+)?serv(?:ing|ice)\b|regex:\bproperty\s+manager\s+(?:process\s+)?serv(?:ing|ice)\b|regex:\bserv(?:ing|e)\s+eviction\s+(?:papers?|notices?)\b",process serving property management
https://www.proofserve.com/for-servers,"regex:\bprocess\s+server\s+jobs?\b|regex:\bprocess\s+serving\s+jobs?\b|regex:\bjoin\s+(?:proof(?:serve)?(?:\'s)?\s+)?(?:server\s+)?network\b|regex:\bearn(?:ing)?\s+(?:as\s+a\s+)?process\s+server\b|regex:\bget\s+paid\s+(?:as\s+a\s+)?(?:process\s+)?server\b|regex:\bprocess\s+server\s+(?:app|mobile\s+app)\b|regex:\bwork\s+as\s+a\s+process\s+server\b|regex:\bprocess\s+server\s+income\b|regex:\bprocess\s+server\s+pay\b|regex:\bhow\s+much\s+do\s+process\s+servers\s+make\b|regex:\bindependent\s+contractor\s+process\s+server\b|regex:\bgig\s+(?:work\s+)?process\s+serv(?:ing|er)\b",process server jobs
